"sep=,"
FrameID,MessageSentTimeLocalMachine1,MessageSentTimeVM1,MessageSentTimeVM2,MessageSentTimeLocalMachine2,MessageSendRate,LatencyEndToEnd
1,1750947087675,1750947087676,0,1750947087676,10,1
2,1750947087686,1750947087686,0,1750947087686,10,0
3,1750947087696,1750947087696,0,1750947087696,10,0
4,1750947087705,1750947087705,0,1750947087706,9,1
5,1750947087716,1750947087716,0,1750947087716,11,0
6,1750947087725,1750947087726,0,1750947087726,9,1
7,1750947087736,1750947087736,0,1750947087736,10,0
8,1750947087746,1750947087746,0,1750947087746,10,0
9,1750947087755,1750947087756,0,1750947087756,9,1
10,1750947087766,1750947087766,0,1750947087766,11,0
11,1750947087775,1750947087776,0,1750947087776,9,1
12,1750947087786,1750947087786,0,1750947087786,10,0
13,1750947087795,1750947087796,0,1750947087796,9,1
14,1750947087806,1750947087806,0,1750947087806,10,0
15,1750947087815,1750947087815,0,1750947087816,9,1
16,1750947087826,1750947087826,0,1750947087826,11,0
17,1750947087836,1750947087836,0,1750947087836,10,0
18,1750947087845,1750947087846,0,1750947087846,9,1
19,1750947087856,1750947087856,0,1750947087857,11,1
20,1750947087866,1750947087866,0,1750947087866,10,0
21,1750947087876,1750947087876,0,1750947087876,10,0
22,1750947087886,1750947087886,0,1750947087887,10,1
23,1750947087895,1750947087896,0,1750947087896,9,1
24,1750947087906,1750947087906,0,1750947087906,10,0
25,1750947087915,1750947087915,0,1750947087915,9,0
26,1750947087926,1750947087926,0,1750947087926,11,0
27,1750947087936,1750947087936,0,1750947087936,10,0
28,1750947087945,1750947087946,0,1750947087946,9,1
29,1750947087956,1750947087956,0,1750947087956,10,0
30,1750947087965,1750947087965,0,1750947087965,9,0
31,1750947087976,1750947087976,0,1750947087976,11,0
32,1750947087986,1750947087986,0,1750947087986,10,0
33,1750947087995,1750947087996,0,1750947087996,9,1
34,1750947088006,1750947088006,0,1750947088006,11,0
35,1750947088015,1750947088016,0,1750947088016,9,1
36,1750947088026,1750947088026,0,1750947088026,10,0
37,1750947088036,1750947088036,0,1750947088036,10,0
38,1750947088046,1750947088046,0,1750947088046,10,0
39,1750947088055,1750947088056,0,1750947088056,9,1
40,1750947088066,1750947088066,0,1750947088066,11,0
41,1750947088076,1750947088076,0,1750947088076,10,0
42,1750947088085,1750947088086,0,1750947088086,9,1
43,1750947088096,1750947088096,0,1750947088096,10,0
44,1750947088106,1750947088106,0,1750947088106,10,0
45,1750947088115,1750947088116,0,1750947088116,9,1
46,1750947088126,1750947088126,0,1750947088126,10,0
47,1750947088135,1750947088135,0,1750947088135,9,0
48,1750947088145,1750947088146,0,1750947088146,10,1
49,1750947088156,1750947088156,0,1750947088156,10,0
50,1750947088166,1750947088166,0,1750947088166,10,0
51,1750947088176,1750947088176,0,1750947088176,10,0
52,1750947088186,1750947088186,0,1750947088186,10,0
53,1750947088196,1750947088196,0,1750947088197,10,1
54,1750947088206,1750947088206,0,1750947088206,10,0
55,1750947088216,1750947088216,0,1750947088216,10,0
56,1750947088225,1750947088226,0,1750947088226,9,1
57,1750947088236,1750947088236,0,1750947088236,11,0
58,1750947088246,1750947088246,0,1750947088246,10,0
59,1750947088255,1750947088256,0,1750947088256,9,1
60,1750947088266,1750947088266,0,1750947088266,11,0
61,1750947088276,1750947088276,0,1750947088276,10,0
62,1750947088285,1750947088286,0,1750947088286,9,1
63,1750947088295,1750947088295,0,1750947088296,10,1
64,1750947088306,1750947088306,0,1750947088306,11,0
65,1750947088316,1750947088316,0,1750947088316,10,0
66,1750947088326,1750947088326,0,1750947088327,10,1
67,1750947088336,1750947088336,0,1750947088336,10,0
68,1750947088346,1750947088346,0,1750947088346,10,0
69,1750947088356,1750947088356,0,1750947088356,10,0
70,1750947088365,1750947088365,0,1750947088366,9,1
71,1750947088376,1750947088376,0,1750947088376,11,0
72,1750947088386,1750947088386,0,1750947088386,10,0
73,1750947088395,1750947088396,0,1750947088396,9,1
74,1750947088406,1750947088406,0,1750947088406,11,0
75,1750947088416,1750947088416,0,1750947088416,10,0
76,1750947088426,1750947088426,0,1750947088426,10,0
77,1750947088436,1750947088436,0,1750947088436,10,0
78,1750947088446,1750947088446,0,1750947088447,10,1
79,1750947088456,1750947088456,0,1750947088456,10,0
80,1750947088466,1750947088466,0,1750947088466,10,0
81,1750947088476,1750947088477,0,1750947088477,10,1
82,1750947088486,1750947088486,0,1750947088486,9,0
83,1750947088496,1750947088497,0,1750947088497,10,1
84,1750947088506,1750947088506,0,1750947088506,10,0
85,1750947088516,1750947088516,0,1750947088517,10,1
86,1750947088526,1750947088526,0,1750947088526,10,0
87,1750947088536,1750947088536,0,1750947088537,10,1
88,1750947088545,1750947088546,0,1750947088546,9,1
89,1750947088556,1750947088556,0,1750947088556,10,0
90,1750947088566,1750947088566,0,1750947088566,10,0
91,1750947088575,1750947088575,0,1750947088576,9,1
92,1750947088586,1750947088586,0,1750947088586,11,0
93,1750947088596,1750947088597,0,1750947088597,10,1
94,1750947088606,1750947088606,0,1750947088606,9,0
95,1750947088616,1750947088616,0,1750947088616,10,0
96,1750947088626,1750947088626,0,1750947088626,10,0
97,1750947088636,1750947088636,0,1750947088636,10,0
98,1750947088645,1750947088646,0,1750947088646,9,1
99,1750947088656,1750947088656,0,1750947088656,11,0
100,1750947088666,1750947088666,0,1750947088666,10,0
101,1750947088676,1750947088676,0,1750947088677,10,1
102,1750947088685,1750947088686,0,1750947088686,9,1
103,1750947088696,1750947088696,0,1750947088696,10,0
104,1750947088705,1750947088705,0,1750947088706,9,1
105,1750947088716,1750947088716,0,1750947088716,11,0
106,1750947088726,1750947088726,0,1750947088726,10,0
107,1750947088736,1750947088736,0,1750947088737,10,1
108,1750947088746,1750947088746,0,1750947088746,10,0
109,1750947088756,1750947088756,0,1750947088756,10,0
110,1750947088766,1750947088766,0,1750947088766,10,0
111,1750947088776,1750947088776,0,1750947088776,10,0
112,1750947088786,1750947088786,0,1750947088786,10,0
113,1750947088795,1750947088796,0,1750947088796,9,1
114,1750947088806,1750947088806,0,1750947088806,11,0
115,1750947088816,1750947088816,0,1750947088816,10,0
116,1750947088826,1750947088826,0,1750947088827,10,1
117,1750947088835,1750947088836,0,1750947088836,9,1
118,1750947088846,1750947088846,0,1750947088846,10,0
119,1750947088856,1750947088856,0,1750947088857,10,1
120,1750947088865,1750947088866,0,1750947088866,9,1
121,1750947088876,1750947088876,0,1750947088876,10,0
122,1750947088886,1750947088886,0,1750947088886,10,0
123,1750947088895,1750947088896,0,1750947088896,9,1
124,1750947088906,1750947088906,0,1750947088906,10,0
125,1750947088916,1750947088916,0,1750947088916,10,0
126,1750947088926,1750947088926,0,1750947088926,10,0
127,1750947088936,1750947088936,0,1750947088936,10,0
128,1750947088945,1750947088946,0,1750947088946,9,1
129,1750947088956,1750947088956,0,1750947088956,10,0
130,1750947088966,1750947088966,0,1750947088966,10,0
131,1750947088975,1750947088976,0,1750947088976,9,1
132,1750947088986,1750947088986,0,1750947088986,11,0
133,1750947088996,1750947088996,0,1750947088996,10,0
134,1750947089005,1750947089006,0,1750947089006,9,1
135,1750947089016,1750947089016,0,1750947089016,11,0
136,1750947089026,1750947089026,0,1750947089026,10,0
137,1750947089036,1750947089036,0,1750947089036,10,0
138,1750947089046,1750947089046,0,1750947089046,10,0
139,1750947089056,1750947089056,0,1750947089056,10,0
140,1750947089066,1750947089066,0,1750947089066,10,0
141,1750947089076,1750947089076,0,1750947089076,10,0
142,1750947089085,1750947089085,0,1750947089086,9,1
143,1750947089096,1750947089096,0,1750947089096,11,0
144,1750947089106,1750947089106,0,1750947089106,10,0
145,1750947089116,1750947089117,0,1750947089117,10,1
146,1750947089125,1750947089125,0,1750947089125,9,0
147,1750947089136,1750947089136,0,1750947089136,11,0
148,1750947089146,1750947089146,0,1750947089146,10,0
149,1750947089155,1750947089155,0,1750947089156,9,1
150,1750947089166,1750947089166,0,1750947089166,11,0
151,1750947089176,1750947089176,0,1750947089176,10,0
152,1750947089186,1750947089186,0,1750947089186,10,0
153,1750947089196,1750947089196,0,1750947089196,10,0
154,1750947089206,1750947089206,0,1750947089206,10,0
155,1750947089215,1750947089215,0,1750947089215,9,0
156,1750947089225,1750947089226,0,1750947089226,10,1
157,1750947089236,1750947089236,0,1750947089236,10,0
158,1750947089246,1750947089246,0,1750947089246,10,0
159,1750947089256,1750947089256,0,1750947089256,10,0
160,1750947089266,1750947089266,0,1750947089266,10,0
161,1750947089275,1750947089275,0,1750947089275,9,0
162,1750947089285,1750947089286,0,1750947089286,10,1
163,1750947089296,1750947089296,0,1750947089296,10,0
164,1750947089306,1750947089306,0,1750947089307,10,1
165,1750947089315,1750947089316,0,1750947089316,9,1
166,1750947089326,1750947089326,0,1750947089326,10,0
167,1750947089336,1750947089336,0,1750947089336,10,0
168,1750947089346,1750947089346,0,1750947089346,10,0
169,1750947089356,1750947089356,0,1750947089356,10,0
170,1750947089365,1750947089365,0,1750947089366,9,1
171,1750947089376,1750947089376,0,1750947089376,11,0
172,1750947089386,1750947089386,0,1750947089386,10,0
173,1750947089396,1750947089396,0,1750947089396,10,0
174,1750947089406,1750947089406,0,1750947089406,10,0
175,1750947089415,1750947089416,0,1750947089416,9,1
176,1750947089426,1750947089426,0,1750947089426,10,0
177,1750947089436,1750947089436,0,1750947089436,10,0
178,1750947089445,1750947089445,0,1750947089446,9,1
179,1750947089456,1750947089456,0,1750947089456,11,0
180,1750947089466,1750947089466,0,1750947089466,10,0
181,1750947089475,1750947089475,0,1750947089476,9,1
182,1750947089486,1750947089486,0,1750947089486,11,0
183,1750947089496,1750947089496,0,1750947089496,10,0
184,1750947089506,1750947089506,0,1750947089506,10,0
185,1750947089516,1750947089516,0,1750947089516,10,0
186,1750947089526,1750947089526,0,1750947089526,10,0
187,1750947089535,1750947089535,0,1750947089536,9,1
188,1750947089545,1750947089546,0,1750947089546,10,1
189,1750947089556,1750947089556,0,1750947089556,10,0
190,1750947089566,1750947089566,0,1750947089566,10,0
191,1750947089575,1750947089576,0,1750947089576,9,1
192,1750947089586,1750947089586,0,1750947089586,10,0
193,1750947089596,1750947089596,0,1750947089596,10,0
194,1750947089605,1750947089605,0,1750947089606,9,1
195,1750947089616,1750947089616,0,1750947089616,11,0
196,1750947089626,1750947089626,0,1750947089626,10,0
197,1750947089636,1750947089636,0,1750947089637,10,1
198,1750947089645,1750947089646,0,1750947089646,9,1
199,1750947089656,1750947089656,0,1750947089656,10,0
200,1750947089666,1750947089666,0,1750947089666,10,0
201,1750947089675,1750947089676,0,1750947089676,9,1
202,1750947089686,1750947089686,0,1750947089686,11,0
203,1750947089696,1750947089696,0,1750947089697,10,1
204,1750947089705,1750947089706,0,1750947089706,9,1
205,1750947089716,1750947089716,0,1750947089716,10,0
206,1750947089726,1750947089726,0,1750947089726,10,0
207,1750947089735,1750947089735,0,1750947089736,9,1
208,1750947089746,1750947089746,0,1750947089746,11,0
209,1750947089756,1750947089756,0,1750947089756,10,0
210,1750947089766,1750947089766,0,1750947089767,10,1
211,1750947089775,1750947089776,0,1750947089776,9,1
212,1750947089786,1750947089786,0,1750947089786,10,0
213,1750947089796,1750947089796,0,1750947089797,10,1
214,1750947089805,1750947089806,0,1750947089806,9,1
215,1750947089816,1750947089816,0,1750947089816,10,0
216,1750947089826,1750947089827,0,1750947089827,10,1
217,1750947089836,1750947089836,0,1750947089836,10,0
218,1750947089846,1750947089846,0,1750947089846,10,0
